"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Get user by ID","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Users","",""
"","38","List products sorting","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Products","",""
"","31","Update user","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Users","",""
"","51","Create product","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Products","",""
"","25","List orders","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Orders","",""
"","34","Remove product by ID","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Products","",""
"","24","List users","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Users","",""
"","21","Get order by ID","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Orders","",""
"","18","List users pagination","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Users","",""
"","29","List orders sorting","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Orders","",""
"","37","List products pagination","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Products","",""
"","27","Create user","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Users","",""
"","22","Remove user by ID","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Users","",""
"","29","Create order","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Orders","",""
"","22","Remove order by ID","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Orders","",""
"","41","Update product","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Products","",""
"","20","List orders pagination","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Orders","",""
"","114","List products","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Products","",""
"","30","Update order","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Orders","",""
"","31","Get product by ID","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Products","",""
"","22","List users sorting","store","Mon Apr 14 14:09:50 GMT 2025","passed","Mon Apr 14 14:09:50 GMT 2025","","Users","",""
